,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Pristine Allure,Kharadi,Pristine Properties,Possession in 2025, 81.7 Lac - 1.01 Cr                                                             , 90 Lac - 1.48 Cr                                                             ,810 - 1227 sqft,746 - 957 sqft
1,Sai Aura,"Pimple Saudagar, Pimpri Chinchwad",Legacy Lifespaces LLP,Possession in 2026, 1.02 Cr                                                             , 1.30 Cr                                                             ,905 - 1040 sqft,711 - 805 sqft
2,Godrej Serene,"Mamurdi, Dehu Road",Godrej Properties,Possession in 2026, 48.2 Lac                                                             , 68.2 Lac - 77.4 Lac                                                             ,1108 - 1405 sqft,823 - 1005 sqft
3,The Canary,Balewadi,Kunal Group,Possession in 2025, 86.8 Lac - 98.5 Lac                                                             , 1 Cr - 1.28 Cr                                                             ,869 - 890 sqft,1662 - 2500 sqft
4,Rohan Ekam,Balewadi,Rohan Builders &amp; Developers Pvt. Ltd.,Possession in 2027, 1.45 Cr - 2.30 Cr                                                             , 2.10 Cr - 4.30 Cr                                                             ,1844 - 2158 sqft,1046 - 1386 sqft
5,Geras Island of Joy,Wagholi,Gera Developments Pvt. Ltd.,Possession in 2026, 2.90 Cr                                                             , 1.10 Cr - 1.30 Cr                                                             ,928 - 1299 sqft,676 - 895 sqft
6,Godrej Emerald Waters,Pimpri,Godrej Properties,Possession in 2027, 1.34 Cr - 2.02 Cr                                                             , 2.36 Cr - 3.15 Cr                                                             ,790 - 800 sqft,1513 - 1673 sqft
7,Adi Amma Insperia,Rahatani,J N Realty and Homes,Possession in 2026, 75.4 Lac - 1.01 Cr                                                             , 1.05 Cr - 1.52 Cr                                                             ,1790 - 1800 sqft,990 - 1335 sqft
8,Elite Amara,Aundh,Elite Builders,Possession in 2024, 1.71 Cr - 1.95 Cr                                                             , 1.15 Cr - 1.20 Cr                                                             ,1088 - 1093 sqft,744 - 866 sqft
9,Amanora Arbano Towers,Hadapsar,Amanora Park Town,Possession in 2028, 1.45 Cr - 2 Cr                                                             , 2.60 Cr - 2.70 Cr                                                             ,742 - 866 sqft,1079 - 1092 sqft
10,Kohinoor Famville,Maan,Kohinoor Group,Possession in 2028, 97.2 Lac - 1.51 Cr                                                             , 1.41 Cr - 1.42 Cr                                                             ,702 - 792 sqft,1085 - 1447 sqft
11,Nirman Cosmopolis,Tathawade Pimpri Chinchwad,Nirman Greens,Possession in 2027, 2.08 Cr - 2.10 Cr                                                             , 65 Lac                                                             ,817 - 825 sqft,927 - 1071 sqft
12,Shriram Nysa,Dhanori,Shriram Developers,Possession in 2025, 96.5 Lac - 1.12 Cr                                                             , 1.48 Cr - 1.96 Cr                                                             ,1460 - 1475 sqft,1064 - 1207 sqft
13,Nyati Emerald,Baner,Nyati Group,Possession in 2027, 2.31 Cr                                                             , 65 Lac - 80.5 Lac                                                             ,1213 - 1218 sqft,838 - 850 sqft
14,24K Altura,Baner,Kolte Patil Developers Ltd.,Possession in 2028, 85 Lac - 1.30 Cr                                                             , 89 Lac - 92 Lac                                                             ,1702 - 2200 sqft,1141 - 1702 sqft
15,Mangalam Life Park,Moshi,Mangalam Landmark,Possession in 2025, 1.15 Cr - 1.31 Cr                                                             , 1.52 Cr - 1.56 Cr                                                             ,800 - 910 sqft,562 - 695 sqft
16,Hues Of Sky,Ghorpadi,Bramhacorp Ltd.,Possession in 2026, 82 Lac                                                             , 1 Cr - 1.09 Cr                                                             ,1246 - 1616 sqft,712 - 1110 sqft
17,Palladio Balewadi Central Phase 1,Balewadi,Vilas Javdekar Developers,Possession in 2027, 1.45 Cr - 1.60 Cr                                                             , 1.55 Cr - 2.55 Cr                                                             ,1400 - 1650 sqft,1100 - 1190 sqft
18,Platinum Towers,"Manjri, Manjri Budruk",Samarth Landmarks,Possession in 2027, 2.20 Cr - 3 Cr                                                             , 38.9 Lac - 47.1 Lac                                                             ,760 - 769 sqft,504 - 511 sqft
19,Mangalam Melizma,"Kiwale, Dehu Road",Mangalam Landmarks,Possession in 2026, 56.1 Lac - 63.3 Lac                                                             , 1.47 Cr - 2.24 Cr                                                             ,838 - 980 sqft,703 - 902 sqft
