,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Boston,Charholi BK,Pride World City,Possession in 2026, 39.8 Lac - 43 Lac                                                             , 49 Lac - 52 Lac                                                             ,631  sqft,531  sqft
1,Kanak Residency Phase 2,"Kiwale, Dehu Road",Sai Siddha Associates,Possession in 2026, 49 Lac - 61 Lac                                                             , 80 Lac                                                             ,940  sqft,635 - 801 sqft
2,Vivanta Next,Tathawade Pimpri Chinchwad,Shree Sonigara Punamiya Developers,Possession in 2026, 60 Lac                                                             , 75 Lac - 78 Lac                                                             ,897  sqft,741 - 743 sqft
3,Infinity Vatika,Shikrapur,Vivek Bidgar Associates,Possession in 2027, 84 Lac - 91.1 Lac                                                             , 92 Lac - 1.10 Cr                                                             ,820 - 1007 sqft,750 - 839 sqft
4,Godrej Urban Retreat,Manjari Khurd,Godrej Properties,Possession in 2023, 51.7 Lac - 54 Lac                                                             , 62.9 Lac - 66.2 Lac                                                             ,891 - 895 sqft,721 - 727 sqft
5,Majestique Rhythm County,Handewadi,Majestique Landmarks,Possession in 2026, 2.09 Cr - 2.11 Cr                                                             , 2.75 Cr - 3.20 Cr                                                             ,1900 - 2200 sqft,1438  sqft
6,Livience Aleenta,Pashan,Livience Lifespace Private Limited,Possession in 2027, 85.5 Lac - 91.2 Lac                                                             , 79 Lac - 80.5 Lac                                                             ,840  sqft,822 - 881 sqft
7,Elina Liva,NIBM Annexe Area,CHAPHALKAR KARANDIKAR DEVELOPERS,Possession in 2023, 97 Lac - 1.20 Cr                                                             , 72 Lac - 84 Lac                                                             ,722 - 790 sqft,1027 - 1115 sqft
8,L Axis,Moshi,Pharande Spaces,Possession in 2026, 98 Lac - 1.17 Cr                                                             , 44 Lac - 46 Lac                                                             ,753  sqft,998 - 999 sqft
9,57 Elevate,Wakad,Aishwaryam Group and Sanskruti Developers and Avneesh Reality,Possession in 2027, 72 Lac - 94 Lac                                                             , 1.29 Cr - 1.38 Cr                                                             ,1241 - 1267 sqft,850 - 863 sqft
10,Mayuri Adhinathpuram,Undri,Mayuri Landmarks LLP,Possession in 2026, 58 Lac - 64 Lac                                                             , 84 Lac - 97.9 Lac                                                             ,800  sqft,767  sqft
11,Tamara Phase 2,Rahatani,Goldfinger Kataria Urban Developments,Possession in 2025, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft
12,Sai Bliss ,"Punawale, Pimpri Chinchwad",Rainbow Housing,Possession in 2026,,,,
13,Sunrise Tower,"Nigdi, Pimpri Chinchwad",V Top Spaces Pvt Ltd,Possession in 2024,,,,
14,Mitrakunj ,"Parvati Gaon, Parvati Darshan",Rising Associates,Possession in 2025,,,,
15,V Top Valonia,"Punawale, Pimpri Chinchwad",Soham Shivam Developers,Possession in 2026,,,,
