,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Prestige Elm Park,Channasandra,Prestige Estates Projects Ltd.,Possession in 2026, 1.70 Cr - 2.25 Cr                                                             , 2.20 Cr - 2.94 Cr                                                             ,1561 - 2004 sqft,1120 - 1600 sqft
1,Soulspring Phase 1,Hsr Layout,Svamitva Group,Possession in 2027, 1.90 Cr - 2.80 Cr                                                             , 2.58 Cr - 3.60 Cr                                                             ,1617 - 2200 sqft,1155 - 1700 sqft
2,Earthen Ambience,Sarjapura Attibele Road,Evantha Developers,Possession in 2025, 1.70 Cr - 1.71 Cr                                                             , 2.06 Cr - 2.90 Cr                                                             ,2200 - 2690 sqft,2100 - 2357 sqft
3,Sobha Galera,Huskur,SOBHA Ltd.,Possession in 2026, 60.6 Lac - 1.25 Cr                                                             , 17.1 Lac - 57 Lac                                                             ,1181 - 2400 sqft,3009  sqft
4,Definer Upper Deck,Budigere Cross,Definer Group,Possession in 2025, 34.2 Lac - 91.2 Lac                                                             , 12 Lac - 15 Lac                                                             ,900 - 2400 sqft,600 - 2000 sqft
5,Canterbury Orchards 2,Nandi Hills,Vishuddh Properties,Possession in 2025, 2.69 Cr - 3 Cr                                                             , 3.45 Cr - 3.90 Cr                                                             ,1654 - 3254 sqft,1200 - 1500 sqft
6,MJR Opus,Sarjapur Road,MJR Builders Pvt. Ltd.,Possession in 2024, 72 Lac - 86.1 Lac                                                             , 81 Lac - 1.06 Cr                                                             ,750 - 940 sqft,1806 - 4220 sqft
7,Vaishnavi Jasmine,Kanakapura Road,Vaishnavi Developers,Possession in 2024, 64.5 Lac - 89.4 Lac                                                             , 93.9 Lac - 1.20 Cr                                                             ,872 - 990 sqft,1047 - 1340 sqft
8,Sky Line Boulevard,Devanahalli,Maharshi Developers,Possession in 2024, 1.70 Cr                                                             , 1.59 Cr                                                             ,1724  sqft,1226 - 1688 sqft
9,MR Hill View Garden,Hoskote Chintamani Road,Annapurna Max Properties OPC Pvt. Ltd.,Possession in 2024, 3 Cr - 3.50 Cr                                                             , 3.70 Cr - 5.09 Cr                                                             ,3421 - 3441 sqft,2300  sqft
10,Soulace By Modern Spaaces,Sarjapur Road,Modern Spaaces,Possession in 2025, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft
11,Abhee Kings Court,Sarjapur Road,Abhee Ventures Pvt. Ltd.,Possession in 2024,,,,
12,Casagrand Keatsway,"Geddalahalli, HBR layout",Casagrand Builder Pvt. Ltd.,Possession in 2026,,,,
13,Golden Pearl Phase 2,Sarjapura,Global Developers,Possession in 2024,,,,
14,Sobha Oakshire,Devanahalli,SOBHA Ltd.,Possession in 2025,,,,
15,Gravity Aranya,Stage 6th Banashankari,Gravity Homes,Possession in 2025,,,,
16,Gnana Kuteera Phase II,Devanahalli,Karnataka State Teachers Employees Welfare Housing Co Operative Society,Possession in 2024,,,,
