,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Happy Homes Megan,Phase 1 Electronics City,Trishul Builders and Promoters,Possession in 2024, 60 Lac - 63 Lac                                                             , 69.6 Lac - 77.7 Lac                                                             ,1160 - 1295 sqft,1440 - 1446 sqft
1,Srivari Forest Breeze,Uttarahalli Hobli,Srivari Infrastructures,Possession in 2024, 87 Lac - 95.7 Lac                                                             , 71.3 Lac - 80.1 Lac                                                             ,1189 - 1335 sqft,1450 - 1595 sqft
2,Garuda Grand,"Hoodi, Hoodi",Balaji Builders,Possession in 2024, 94.2 Lac - 1.10 Cr                                                             , 2.64 Cr - 3.37 Cr                                                             ,3054 - 3901 sqft,1571 - 1849 sqft
3,Divine Meadows,Sarjapura,Max Global Developers,Possession in 2026, 54 Lac                                                             , 85 Lac - 97 Lac                                                             ,750 - 1220 sqft,445  sqft
4,Brigade Calista Phase 1,Budigere Cross,Brigade Group,Possession in 2027, 1.05 Cr - 1.55 Cr                                                             , 1.95 Cr - 2.45 Cr                                                             ,1249 - 145152 sqft,927 - 1760 sqft
5,Visista By Vista Spaces Okas,Yelahanka,Vista Spaces,Possession in 2026, 2.45 Cr - 2.50 Cr                                                             , 68 Lac - 80 Lac                                                             ,723 - 900 sqft,1603 - 160300 sqft
6,Shriram Solitaire,Yelahanka New Town,Shriram Properties Ltd.,Possession in 2025, 73 Lac - 1.05 Cr                                                             , 1.20 Cr - 1.22 Cr                                                             ,2000 - 2172 sqft,1240 - 1680 sqft
7,Future Aspera,Chandapura,Future Infrastructures Pvt. Ltd.,Possession in 2024, 69 Lac - 72.5 Lac                                                             , 78 Lac - 1.21 Cr                                                             ,675 - 1255 sqft,603 - 810 sqft
8,The Poem by Shriram Properties,"Jalahalli, Jalahalli, Outer Ring Road",Shriram Properties Ltd.,Possession in 2027, 70.1 Lac - 79.5 Lac                                                             , 85 Lac - 88.3 Lac                                                             ,1070 - 1111 sqft,870 - 995 sqft
9,TG Heritage,Kanakapura Road,TG Developers,Possession in 2026, 1.02 Cr - 1.16 Cr                                                             , 1 Cr - 1.37 Cr                                                             ,1122 - 1525 sqft,1305 - 1495 sqft
10,Mahaveer Grandis,Phase 7 JP Nagar,Mahaveer Group,Possession in 2026, 42.8 Lac - 53.4 Lac                                                             , 60.1 Lac - 71.9 Lac                                                             ,1367 - 1562 sqft,1070 - 1213 sqft
11,DS MAX Samyak,Kengeri Hobli Challegatta,DS MAX Properties Pvt. Ltd.,Possession in 2026, 45 Lac - 58.4 Lac                                                             , 55.7 Lac - 64.1 Lac                                                             ,1237 - 1425 sqft,1000 - 1298 sqft
12,DS MAX Shresta,Bellahalli,DS MAX Properties Pvt. Ltd.,Possession in 2026, 35.6 Lac - 37.6 Lac                                                             , 53 Lac - 66.9 Lac                                                             ,964 - 1216 sqft,647 - 684 sqft
13,Mahaveer Highlands,Kengeri,Mahaveer Group,Possession in 2026, 78.2 Lac - 79.6 Lac                                                             , 43 Lac - 45 Lac                                                             ,586  sqft,1422 - 1447 sqft
14,Brigade Valencia,Hosur Road,Brigade Group,Possession in 2027, 70 Lac - 92 Lac                                                             , 1.08 Cr - 1.40 Cr                                                             ,1498 - 1678 sqft,966 - 1201 sqft
15,Govianu Nakshatra,Vijayanagar,Govianu Wealth Management Pvt Ltd,Possession in 2024, 1.25 Cr - 1.27 Cr                                                             , 64.8 Lac - 89.1 Lac                                                             ,1200 - 1650 sqft,1800 - 1815 sqft
16,Akshara Green City Township Phase 1,Budigere Cross,Sheshadri Developers,Possession in 2024, 52.9 Lac - 85.9 Lac                                                             , 78 Lac - 97.5 Lac                                                             ,1200 - 1500 sqft,1490 - 2420 sqft
17,Century Seasons,Devanahalli,Century Real Estate,Possession in 2023,,,,
