,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Kumari Nautilus,Koralur,Kumari Infra Homes Private Limited,Possession in 2028, 2.09 Cr - 2.79 Cr                                                             , 73 Lac                                                             ,686 - 699 sqft,2487 - 3314 sqft
1,Prestige Serenity Shores,Whitefield,Prestige Group,Possession in 2027, 1.36 Cr - 1.41 Cr                                                             , 1.50 Cr - 2.18 Cr                                                             ,1399 - 2008 sqft,1260 - 1294 sqft
2,Provident Ecopolitan,Bagalur,Provident Housing Ltd.,Possession in 2027, 2.90 Cr                                                             , 35 Lac - 45 Lac                                                             ,600 - 800 sqft,2667  sqft
3,DS Max Sky Sanjeevini,Tumkur Road,DS MAX Properties Pvt. Ltd.,Possession in 2027, 55 Lac - 72 Lac                                                             , 75 Lac - 92 Lac                                                             ,1200 - 1500 sqft,900 - 1100 sqft
4,Sri Balaji Serene,Yelahanka,Sri Balaji Structures,Possession in 2024, 32.6 Lac - 43.3 Lac                                                             , 45 Lac - 55.6 Lac                                                             ,1286 - 1425 sqft,931 - 1171 sqft
5,Prominent Chourasia Revanta,Krishnarajapura,Prominent Infra,Possession in 2024, 57.9 Lac - 69 Lac                                                             , 72.5 Lac - 96.6 Lac                                                             ,1450 - 1933 sqft,1158 - 1381 sqft
6,Birla Trimaya,Devanahalli,Birla Estates,Possession in 2027, 66.1 Lac - 71.6 Lac                                                             , 77.3 Lac - 89.1 Lac                                                             ,1345 - 1550 sqft,1150 - 1245 sqft
7,RR Wish Tales,Jakkur,MSR Infraa,Possession in 2027, 50 Lac - 55 Lac                                                             , 78 Lac - 88 Lac                                                             ,769 - 819 sqft,489 - 516 sqft
8,LAVIVANT,Sarjapura,ATCO PROJECTS PRIVATE LIMITED,Possession in 2026, 97 Lac - 1.19 Cr                                                             , 95.4 Lac - 1.04 Cr                                                             ,1242 - 1327 sqft,945 - 1156 sqft
9,Prestige Park Grove,Whitefield,Prestige Estates Projects Ltd.,Possession in 2027, 1.06 Cr - 1.24 Cr                                                             , 1.39 Cr - 1.44 Cr                                                             ,1760 - 1833 sqft,1364 - 1619 sqft
10,Elegant Hermitage,Uttarahalli Hobli,Elegant Builders and Developers,Possession in 2025, 1.54 Cr - 1.62 Cr                                                             , 1.50 Cr - 2.39 Cr                                                             ,2507 - 3997 sqft,2572 - 2709 sqft
11,Sarang By Sumadhura Phase I,Whitefield,Sumadhura Infracon Pvt. Ltd.,Possession in 2026, 61 Lac - 67.7 Lac                                                             , 95 Lac - 1.15 Cr                                                             ,3739  sqft,658  sqft
12,Aurum At Brigade El Dorado,Bagalur Main Road,Brigade Group,Possession in 2027, 1.40 Cr - 1.80 Cr                                                             , 2.10 Cr - 3.40 Cr                                                             ,2133 - 3500 sqft,1400 - 1837 sqft
13,2 Oakland Estates,Devanahalli,DEAMANTE PROPERTIES,Possession in 2024, 3.25 Cr                                                             , 91.7 Lac - 1.03 Cr                                                             ,1175 - 1332 sqft,3300  sqft
14,The Grand Strand Address,"Hoodi, Hoodi",Address Maker,Possession in 2030, 1.19 Cr - 1.31 Cr                                                             , 1.64 Cr - 2 Cr                                                             ,1654 - 1920 sqft,1556 - 1719 sqft
15,Pride Altius,Tumkur Road,Pride Group,Possession in 2026, 2.15 Cr - 2.60 Cr                                                             , 60.7 Lac - 1.80 Cr                                                             ,938 - 975 sqft,2135 - 2580 sqft
16,Shivadhanush,Hoskote,Sowparnika Projects &amp; Infrastructure Pvt. Ltd.,Possession in 2027, 62 Lac - 11.50 Cr                                                             , 2.80 Cr - 3.31 Cr                                                             ,2800 - 3310 sqft,971 - 1562 sqft
17,DB Lakven Visishta,Kadugodi,DB Infra Developers,Possession in 2024, 1.39 Cr                                                             , 1.75 Cr - 2.44 Cr                                                             ,1526 - 2129 sqft,1213 - 1217 sqft
18,Abhee Srishti Layout,Anekal,Abhee Ventures Pvt. Ltd.,Possession in 2023, 74.9 Lac - 78 Lac                                                             , 1.25 Cr - 1.30 Cr                                                             ,1100 - 1233 sqft,671 - 900 sqft
19,Sree Urban Orchids Phase II,Panathur,Sree Builders and Developers,Possession in 2025, 63.2 Lac - 76.8 Lac                                                             , 71.9 Lac - 1.03 Cr                                                             ,1240 - 1792 sqft,1089 - 1324 sqft
20,,,,, 26 Lac - 1.50 Cr                                                             , 68.6 Lac - 73 Lac                                                             ,1180 - 1260 sqft,1050 - 6000 sqft
21,,,,, 85.4 Lac - 1.07 Cr                                                             , 1.28 Cr                                                             ,2200  sqft,1460 - 1865 sqft
