,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Parleshwar Aangan,Vile Parle East,Panom Developers LLP,Possession in 2025, 1.68 Cr - 1.72 Cr                                                             , 2.61 Cr - 2.62 Cr                                                             ,676 - 680 sqft,440 - 450 sqft
1,Atharv Aaradhyam,Vile Parle East,Atharv Infra LLP,Possession in 2025, 3.43 Cr                                                             , 5.24 Cr                                                             ,1360  sqft,900  sqft
2,Lodha Vero,Sion,Lodha Group,Possession in 2028, 2.44 Cr - 2.52 Cr                                                             , 3.04 Cr - 3.07 Cr                                                             ,847 - 855 sqft,678 - 705 sqft
3,Agastya Signature,Vikhroli East,Agastya Developers,Possession in 2026, 5.56 Cr                                                             , 8.60 Cr                                                             ,1800  sqft,1535  sqft
4,Kabra Garnet,Malad West,Kabra Group,Possession in 2026, 10.40 Cr                                                             , 64.3 Lac - 76.5 Lac                                                             ,363 - 388 sqft,2180  sqft
5,Luma,Andheri East,The Dynamix Group,Possession in 2025, 1.15 Cr - 1.24 Cr                                                             , 1.20 Cr                                                             ,423  sqft,614 - 650 sqft
6,NG Platinum City,Vasai East,RNA NG Builders,Possession in 2024, 1.34 Cr - 1.90 Cr                                                             , 2.19 Cr - 2.43 Cr                                                             ,828 - 911 sqft,515 - 690 sqft
7,Dem Icon,Charkop Gaon,DEM Infra,Possession in 2026, 1.69 Cr                                                             , 2.99 Cr - 3.25 Cr                                                             ,1122 - 1124 sqft,624  sqft
8,Chandak Nostalgia,Malad West,Chandak Group,Possession in 2027, 35 Lac - 87.5 Lac                                                             , 92.8 Lac                                                             ,421  sqft,435 - 950 sqft
9,Veena Passcode Everything,Malad,Veena Developers,Possession in 2025, 1.32 Cr - 1.50 Cr                                                             , 1.97 Cr - 2.30 Cr                                                             ,718 - 744 sqft,563 - 684 sqft
10,Shraddha West Residency,Jogeshwari East,Shraddha Buildcon Pvt Ltd,Possession in 2025, 2.70 Cr - 3 Cr                                                             , 1.22 Cr                                                             ,436  sqft,1019 - 1068 sqft
11,Nicco Residency,Jogeshwari East,Neelkamal Realty &amp; Construction LLP,Possession in 2026, 1.91 Cr                                                             , 2.59 Cr                                                             ,923  sqft,683  sqft
12,Tricity Natraj,Chembur,Tricity Reality Pvt. Ltd.,Possession in 2025, 73 Lac - 74 Lac                                                             , 1.99 Cr - 2.14 Cr                                                             ,772 - 826 sqft,332 - 335 sqft
13,Sumit Gurukrishna,Vile Parle East,Sumit Woods Pvt. Ltd.,Possession in 2024, 2.60 Cr - 3.18 Cr                                                             , 4.32 Cr                                                             ,1671  sqft,1002 - 1228 sqft
14,JP North Aviva,Mira Road East,JP Infra,Possession in 2026, 2.18 Cr - 2.60 Cr                                                             , 3.48 Cr - 3.55 Cr                                                             ,740 - 1110 sqft,740  sqft
15,Puri SeleQt,Andheri East,PURI CREATORS,Possession in 2025, 2.97 Cr - 3.50 Cr                                                             , 4.23 Cr                                                             ,871  sqft,666 - 714 sqft
16,Raheja Residency,Malad East,K. Raheja Realty,Possession in 2027, 50 Lac - 60 Lac                                                             , 2.10 Cr - 2.42 Cr                                                             ,710 - 860 sqft,310 - 410 sqft
17,Marathon Neovalley Narmada Wing B,Bhandup West,Marathon Realty Pvt. Ltd.,Possession in 2028, 3.20 Cr - 3.30 Cr                                                             , 1.95 Cr                                                             ,730  sqft,1165 - 1188 sqft
18,Sunteck Sky Park,Mira Bhayandar Road,Sunteck Realty Ltd.,Possession in 2026, 50 Lac - 68 Lac                                                             , 32 Lac                                                             ,175  sqft,247 - 338 sqft
19,,,,, 1.12 Cr - 1.18 Cr                                                             , 1.57 Cr - 1.71 Cr                                                             ,948 - 1040 sqft,665 - 702 sqft
20,,,,, 1.29 Cr - 1.70 Cr                                                             , 1.99 Cr - 2.22 Cr                                                             ,850  sqft,560 - 710 sqft
