,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Pride Panorama,Andheri East,Pride Group,Possession in 2025, 1.23 Cr - 1.58 Cr                                                             , 1.70 Cr - 2.10 Cr                                                             ,658 - 824 sqft,460 - 622 sqft
1,Lodha Divino,Matunga East,Lodha,Possession in 2026, 2.14 Cr - 2.35 Cr                                                             , 3.59 Cr - 3.94 Cr                                                             ,820  sqft,840 - 928 sqft
2,VS Royale 22,Vikhroli East,VS Developers,Possession in 2025, 5.15 Cr - 6.25 Cr                                                             , 7.35 Cr - 7.69 Cr                                                             ,1727  sqft,1227 - 1331 sqft
3,Godrej Five Gardens,Matunga,Godrej Properties,Possession in 2028, 1.10 Cr                                                             , 1.50 Cr                                                             ,599  sqft,435  sqft
4,Godrej Bliss,Kandivali East,Godrej Properties,Possession in 2028, 2.50 Cr                                                             , 9.50 Cr                                                             ,1496  sqft,1036  sqft
5,Oxford Navrang Crystal,Goregaon West,Oxford Group,Possession in 2025, 1.62 Cr                                                             , 2.25 Cr - 2.33 Cr                                                             ,944 - 976 sqft,688  sqft
6,Raveshia Aryana Heights,Ghatkopar East,Raveshia Realty,Possession in 2026, 1.52 Cr - 1.53 Cr                                                             , 1.28 Cr - 1.71 Cr                                                             ,541 - 672 sqft,636 - 656 sqft
7,Eastsyde,Ghatkopar East,Vaibhavlaxmi Builders &amp; Developers,Possession in 2024, 85 Lac                                                             , 1.65 Cr - 1.72 Cr                                                             ,657 - 730 sqft,365  sqft
8,Promesa Midtown,Ghatkopar East,Promesa Realty,Possession in 2024, 2 Cr                                                             , 79 Lac - 99 Lac                                                             ,361 - 419 sqft,305  sqft
9,Ornate Solitaire,Dahisar East,Ornate Universal,Possession in 2027, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft
10,Vivan,Goregaon West,Goregaon Electrical Industries LLP,Possession in 2026,,,,
11,Sheetal Regalia,Borivali East,DGS Group,Possession in 2028,,,,
12,Beautiful NL Krishna,Dahisar East,NLPL,Possession in 2025,,,,
13,Meghna Ashraya,Goregaon East,Shakti Constructions,Possession in 2025,,,,
