"MyUnknownColumn";"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
0;0;"Pristine Allure";"Kharadi";"Pristine Properties";"Possession in 2025";"810 - 1227 sqft";"746 - 957 sqft";7.0;8170000.0;9000000.0
1;1;"Sai Aura";"Pimple Saudagar, Pimpri Chinchwad";"Legacy Lifespaces LLP";"Possession in 2026";"905 - 1040 sqft";"711 - 805 sqft";7.0;10200000.0;13000000.0
2;2;"Godrej Serene";"Mamurdi, Dehu Road";"Godrej Properties";"Possession in 2026";"1108 - 1405 sqft";"823 - 1005 sqft";1.0;4820000.0;6820000.0
3;3;"The Canary";"Balewadi";"Kunal Group";"Possession in 2025";"869 - 890 sqft";"1662 - 2500 sqft";10.0;8680000.0;10000000.0
4;4;"Rohan Ekam";"Balewadi";"Rohan Builders &amp; Developers Pvt. Ltd.";"Possession in 2027";"1844 - 2158 sqft";"1046 - 1386 sqft";8.0;14500000.0;21000000.0
5;5;"Geras Island of Joy";"Wagholi";"Gera Developments Pvt. Ltd.";"Possession in 2026";"928 - 1299 sqft";"676 - 895 sqft";5.0;29000000.0;11000000.0
6;6;"Godrej Emerald Waters";"Pimpri";"Godrej Properties";"Possession in 2027";"790 - 800 sqft";"1513 - 1673 sqft";6.0;13400000.0;23600000.0
7;7;"Adi Amma Insperia";"Rahatani";"J N Realty and Homes";"Possession in 2026";"1790 - 1800 sqft";"990 - 1335 sqft";2.0;7540000.0;10500000.0
8;8;"Elite Amara";"Aundh";"Elite Builders";"Possession in 2024";"1088 - 1093 sqft";"744 - 866 sqft";8.0;17100000.0;11500000.0
9;9;"Amanora Arbano Towers";"Hadapsar";"Amanora Park Town";"Possession in 2028";"742 - 866 sqft";"1079 - 1092 sqft";9.0;14500000.0;26000000.0
10;10;"Kohinoor Famville";"Maan";"Kohinoor Group";"Possession in 2028";"702 - 792 sqft";"1085 - 1447 sqft";7.0;9720000.0;14100000.0
11;11;"Nirman Cosmopolis";"Tathawade Pimpri Chinchwad";"Nirman Greens";"Possession in 2027";"817 - 825 sqft";"927 - 1071 sqft";10.0;20800000.0;6500000.0
12;12;"Shriram Nysa";"Dhanori";"Shriram Developers";"Possession in 2025";"1460 - 1475 sqft";"1064 - 1207 sqft";2.0;9650000.0;14800000.0
13;13;"Nyati Emerald";"Baner";"Nyati Group";"Possession in 2027";"1213 - 1218 sqft";"838 - 850 sqft";10.0;23100000.0;6500000.0
14;14;"24K Altura";"Baner";"Kolte Patil Developers Ltd.";"Possession in 2028";"1702 - 2200 sqft";"1141 - 1702 sqft";0.0;8500000.0;8900000.0
15;15;"Mangalam Life Park";"Moshi";"Mangalam Landmark";"Possession in 2025";"800 - 910 sqft";"562 - 695 sqft";9.0;11500000.0;15200000.0
16;16;"Hues Of Sky";"Ghorpadi";"Bramhacorp Ltd.";"Possession in 2026";"1246 - 1616 sqft";"712 - 1110 sqft";9.0;8200000.0;10000000.0
17;17;"Palladio Balewadi Central Phase 1";"Balewadi";"Vilas Javdekar Developers";"Possession in 2027";"1400 - 1650 sqft";"1100 - 1190 sqft";9.0;14500000.0;15500000.0
18;18;"Platinum Towers";"Manjri, Manjri Budruk";"Samarth Landmarks";"Possession in 2027";"760 - 769 sqft";"504 - 511 sqft";6.0;22000000.0;3890000.0
19;19;"Mangalam Melizma";"Kiwale, Dehu Road";"Mangalam Landmarks";"Possession in 2026";"838 - 980 sqft";"703 - 902 sqft";8.0;5610000.0;14700000.0
20;0;"Boston";"Charholi BK";"Pride World City";"Possession in 2026";"631  sqft";"531  sqft";5.0;3980000.0;4900000.0
21;1;"Kanak Residency Phase 2";"Kiwale, Dehu Road";"Sai Siddha Associates";"Possession in 2026";"940  sqft";"635 - 801 sqft";0.0;4900000.0;8000000.0
22;2;"Vivanta Next";"Tathawade Pimpri Chinchwad";"Shree Sonigara Punamiya Developers";"Possession in 2026";"897  sqft";"741 - 743 sqft";2.0;6000000.0;7500000.0
23;3;"Infinity Vatika";"Shikrapur";"Vivek Bidgar Associates";"Possession in 2027";"820 - 1007 sqft";"750 - 839 sqft";3.0;8400000.0;9200000.0
24;4;"Godrej Urban Retreat";"Manjari Khurd";"Godrej Properties";"Possession in 2023";"891 - 895 sqft";"721 - 727 sqft";5.0;5170000.0;6290000.0
25;5;"Majestique Rhythm County";"Handewadi";"Majestique Landmarks";"Possession in 2026";"1900 - 2200 sqft";"1438  sqft";5.0;20900000.0;27500000.0
26;6;"Livience Aleenta";"Pashan";"Livience Lifespace Private Limited";"Possession in 2027";"840  sqft";"822 - 881 sqft";9.0;8550000.0;7900000.0
27;7;"Elina Liva";"NIBM Annexe Area";"CHAPHALKAR KARANDIKAR DEVELOPERS";"Possession in 2023";"722 - 790 sqft";"1027 - 1115 sqft";7.0;9700000.0;7200000.0
28;8;"L Axis";"Moshi";"Pharande Spaces";"Possession in 2026";"753  sqft";"998 - 999 sqft";3.0;9800000.0;4400000.0
29;9;"57 Elevate";"Wakad";"Aishwaryam Group and Sanskruti Developers and Avneesh Reality";"Possession in 2027";"1241 - 1267 sqft";"850 - 863 sqft";9.0;7200000.0;12900000.0
30;10;"Mayuri Adhinathpuram";"Undri";"Mayuri Landmarks LLP";"Possession in 2026";"800  sqft";"767  sqft";7.0;5800000.0;8400000.0
31;11;"Tamara Phase 2";"Rahatani";"Goldfinger Kataria Urban Developments";"Possession in 2025";"1363  sqft";"1062  sqft";4.0;11000000.0;28700000.0
32;12;"Sai Bliss ";"Punawale, Pimpri Chinchwad";"Rainbow Housing";"Possession in 2026";"1363  sqft";"1062  sqft";4.0;11000000.0;28700000.0
33;13;"Sunrise Tower";"Nigdi, Pimpri Chinchwad";"V Top Spaces Pvt Ltd";"Possession in 2024";"1363  sqft";"1062  sqft";8.0;11000000.0;28700000.0
34;14;"Mitrakunj ";"Parvati Gaon, Parvati Darshan";"Rising Associates";"Possession in 2025";"1363  sqft";"1062  sqft";2.0;11000000.0;28700000.0
35;15;"V Top Valonia";"Punawale, Pimpri Chinchwad";"Soham Shivam Developers";"Possession in 2026";"1363  sqft";"1062  sqft";7.0;11000000.0;28700000.0
36;0;"Balaji Park";"Ambale Gaon";"Gurukrupa Developers";"Possession in 2023";"939 - 1244 sqft";"796 - 888 sqft";6.0;7750000.0;9300000.0
37;1;"Sai Empire G";"Wadmukhwadi";"Sai Angan Projects LLP";"Possession in 2023";"1140 - 1155 sqft";"881 - 950 sqft";2.0;8800000.0;11400000.0
38;2;"Asmita Swapnapurti ";"Jalochi";"Asmita Enterprises  ";"Possession in 2026";"1066 - 1471 sqft";"762 - 1067 sqft";10.0;8600000.0;12800000.0
